Дані для перерахунку координат;;;
Градуси, мінути, секунди;;;
Широта       ;Довгота     ; Висота ;Назва точки
"051°15'57,93370""";"030°54'01,23603""";168,8;fgj
"051°16'31,02""";"030°52'45,96""";166;r
"051°13'36,843""";"030°49'36,508""";166;t
"051°13'38,830""";"030°49'31,939""";166;r
"051°13'38,830""";"030°49'31,939""";167;g
"051°13'38,830""";"030°49'31,939""";168;g
"051°13'38,830""";"030°49'31,939""";169;g
"051°14'38,8340""";"030°49'31,939""";170;dfgj
"051°13'38,830""";"030°49'31,939""";171;g
"051°13'38,83010""";"030°49'31,939""";172;g
"051°13'38,830""";"030°49'31,939""";173;dfgj
"051°13'38,830""";"030°49'31,93945""";174;g
"051°13'38,830""";"030°49'31,93978""";175;g
"051°13'38,830""";"030°49'31,93915""";176;dfgj
