Дані для перерахунку координат;;;
Градуси;;;
Широта;Довгота;Висота   ;Назва точки
51,66609269;30.90034334;168.8;
51.27528333;30.87943333;166.0          ;
51.22690083;30.82680778;168.9;
51.22745278;30.82553861;166.1;
51.52745278;30.82553861;168.10;
51.22745278;30.82553861;166.2;
51.22745278;30.82553861;168.11;
51.24412056;30.82553861;166.3;
51.22745278;30.82553861;168.12;
51.22745281;30.82553861;166.4;
51.22745278;30.82553861;168.13;
51.22745278;30.82553874;166.5;
51.22745278;30.82553883;168.14;
51.22745278;30.82553865;166.6                    ;
