Дані для розрахунку оберненої геодезичної задачі;;;;;;;
Джерело 1;;;;Джерело 2;;;
Час;Довгота;Широта;Висота;Час;Довгота;Широта;Висота
14:12:53;31,303662;51,548504;257,081417;14:12:53;31,3037072;51,5484973;244,7200012
14:12:55;31,303971;51,548466;266,751093;14:12:55;31,3040184;51,5484659;254,25
14:12:57;31,304384;51,54842;279,071042;14:12:57;31,3044189;51,5484213;267,0100098
14:12:59;31,304853;51,548386;290,26187;14:12:59;31,3049067;51,5483726;280,45001
14:13:00;31,3051;51,548375;291,864357;14:13:00;31,3051119;51,5483493;285,5400085
14:13:01;31,305347;51,548359;296,610779;14:13:01;31,3053245;51,5483278;289,7099915
14:13:02;31,305551;51,548339;299,513978;14:13:02;31,3055601;51,5483937;291,8900146
14:13:04;31,305936;51,5482;300,981176;14:13:04;31,3059185;51,548173;294,4100036
14:13:05;31,306081;51,54812;305,152511;14:13:05;31,3060594;51,5481398;295,8599853
14:13:08;31,306882;51,54822;317,920301;14:13:08;31,306956;51,5481977;307,6099854
14:13:10;31,307424;51,548246;328,854254;14:13:10;31,3074994;51,5483088;319,6700134
14:13:12;31,307884;51,548345;335,984231;14:13:12;31,3080107;51,5484302;327,6900024
14:13:14;31,308509;51,548578;340,496951;14:13:14;31,3085175;51,5485632;332
14:13:16;31,30886;51,548665;339,940492;14:13:16;31,3089064;51,5486643;331,269989
14:13:18;31,309384;51,548765;338,99006;14:13:18;31,3094241;51,5487951;329,0599976
14:13:20;31,309867;51,5489;338,789265;14:13:20;31,3099306;51,548932;329,4299927
14:13:22;31,310321;51,549038;337,29701;14:13:22;31,3104071;51,5490676;328,5599976
14:13:24;31,310758;51,54916;338,400085;14:13:24;31,3108624;51,5491987;329,0799866
14:13:26;31,311186;51,549304;343,247874;14:13:26;31,311199;51,5493024;332,4700012
14:13:28;31,311624;51,549383;344,911984;14:13:28;31,3116339;51,5494222;335,9299927
14:13:30;31,312026;51,549578;352,796901;14:13:30;31,3120914;51,5495279;338,6700134
14:13:32;31,312544;51,549573;352,5044;14:13:32;31,3125537;51,5496414;341,5
14:13:36;31,313397;51,549821;358,112143;14:13:36;31,3133941;51,5498483;347,8500061
14:13:40;31,314382;51,549912;359,265184;14:13:40;31,3143604;51,5500957;355,5400085
14:13:44;31,315202;51,550317;369,039038;14:13:44;31,3152072;51,550319;358,0299988
14:13:46;31,315654;51,550408;370,240422;14:13:46;31,3156627;51,5504356;359,6499939
14:13:50;31,316535;51,550668;369,392313;14:13:50;31,3165684;51,5506758;361,25
14:13:54;31,317483;51,55082;372,305917;14:13:54;31,3174797;51,5509165;364,6799927
14:13:58;31,318258;51,551065;381,648658;14:13:58;31,3182613;51,5511274;371,4299927
14:14:02;31,319066;51,551564;377,827864;14:14:02;31,319062;51,551566;376,1600037
14:14:06;31,31951;51,552183;402,001413;14:14:06;31,3195188;51,5521294;384,5499878
14:14:10;31,319997;51,552683;403,127259;14:14:10;31,3199616;51,5527831;393,8299866
14:14:14;31,320345;51,553259;412,858227;14:14:14;31,3203641;51,5533622;402,6600037
14:14:16;31,320584;51,553691;415,509532;14:14:16;31,3205974;51,5537101;409,8099976
14:14:20;31,321044;51,554454;430,119158;14:14:20;31,3210464;51,5544063;424,3200073
14:14:24;31,321446;51,55497;446,763368;14:14:24;31,3214225;51,5550402;435,1700134
14:14:28;31,322229;51,555464;448,459341;14:14:28;31,3222245;51,5554568;442,519989
14:14:32;31,323043;51,555301;457,912011;14:14:32;31,3230675;51,5553117;443,8900146
14:14:36;31,323826;51,555106;451,470298;14:14:36;31,3238373;51,5551775;441,0899963
